date,mealType,name,calories,servingSize,totalFat,saturatedFat,protein,sodium,potassium,cholesterolMg,totalCarbs,fiber,sugar
'2024-03-02','Other','milk', 51.3, 100.0, 1.9, 1.2, 3.5, 52.0, 100.0, 8.0, 4.9, 0.0, 0.0
'2024-03-02','Other','cereal', 386.0, 100.0, 6.8, 1.5, 12.2, 495.0, 489.0, 0.0, 71.9, 9.2, 4.0
'2024-03-02','Other','milk', 51.3, 100.0, 1.9, 1.2, 3.5, 52.0, 100.0, 8.0, 4.9, 0.0, 0.0
'2024-03-02','Other','cereal', 386.0, 100.0, 6.8, 1.5, 12.2, 495.0, 489.0, 0.0, 71.9, 9.2, 4.0
'2024-03-02','Other','egg', 147.0, 100.0, 9.7, 3.1, 12.5, 139.0, 199.0, 371.0, 0.7, 0.0, 0.0
'2024-03-02','Other','chicken', 1113.2, 500.0, 64.5, 18.3, 118.7, 361.0, 895.0, 460.0, 0.2, 0.0, 0.0
'2024-03-02','Other','milk', 102.6, 200.0, 3.8, 2.4, 7.0, 105.0, 201.0, 16.0, 9.8, 0.0, 0.0
'2024-03-02','Other','bread', 784.8, 300.0, 10.2, 2.1, 26.5, 1486.0, 294.0, 0.0, 150.7, 8.2, 17.0
'2024-03-02','Breakfast','chicken', 1113.2, 500.0, 64.5, 18.3, 118.7, 361.0, 895.0, 460.0, 0.2, 0.0, 0.0
'2024-03-02','Other','milk', 51.3, 100.0, 1.9, 1.2, 3.5, 52.0, 100.0, 8.0, 4.9, 0.0, 0.0
'2024-03-02','Lunch','milk', 102.6, 200.0, 3.8, 2.4, 7.0, 105.0, 201.0, 16.0, 9.8, 0.0, 0.0
